center_id,center_name,address,detail_address,phone,homepage,province,city
10270,노원 청년평생교육센터 청년배움,서울특별시 노원구 화랑로 419-3,태릉입구역이니티움(청년안심주택) 상가 2층,02-2116-7124,https://www.nowon.kr/nwll/web/orgintro/1001?orgNo=202,서울특별시,노원구
10269,충주시 청년센터,충주시 관아 1길 20,"문화창업재생허브, 2층",043-853-2030,https://cjyouth.kr/,충청북도,충주시
10267,소사청년공간 소사로움,경기도 부천시 소사구 성무로 24,부천시립심곡도서관 4층,032-625-4581,https://www.bcl.go.kr/site/homepage/menu/viewMenu?menuid=019002003001006,경기도,부천시 소사구
10266,청년활력공간,충남 청양군 칠갑산로9길10,청년LAB 2층,041-942-3306,https://www.xn--og5bwgv8pq6k.org/,충청남도,청양군
10268,계룡청년공간 소소마루,충남 계룡시 서금암로 17,"은혜로빌딩 5층, 계룡청년공간 소소마루",042-840-2521,https://blog.naver.com/soso_maru,충청남도,계룡시
10265,경산시 청년센터,경산시 중앙로2길 8(사정동 84-1),경산시 청년센터,053-811-9502,http://www.kyceo.or.kr/pages/main_page/,경상북도,경산시
10262,영광군청년센터,전라남도 영광군 영광읍 물무로 219,영광군 청년센터,061-351-2112,http://ygyoungman.or.kr,전라남도,영광군
10263,김해청년어울림센터 Station-G 삼방,김해시 삼안로291번길 47-15,2층 청년어울림센터,055-313-6687,https://www.instagram.com/ghyouth_oulimcenter/,경상남도,김해시
10258,서울청년센터 성북,서울특별시 성북구 종암로 5길 7,서울청년센터 성북(단독건물),02-921-5330,https://blog.naver.com/syc_sbyouth,서울특별시,성북구
10264,김해청년어울림센터 Station-G 장유,경남 김해시 부곡로 57,"다누림센터 2층 , 청년어울림센터 Station-G 장유",055-339-7785,https://www.gimhaeyouth.com/station-G/,경상남도,김해시
